ID,sample_type,Lineage,Pi,coverage
Stic_2,swab,Sticna,0.00078,30
Stic_4,swab,Sticna,0.00076,18.9
Park_10,swab,parkelj,0.00077,18.5
Dole_10,swab,Dolenjska,0.0009,11.7
Kraj_4,swab,Krajina,0.0008,22.1
Para_14,swab,Paralittoral,0.00057,40.1
Ljub_5,swab,Ljubljanica,0.00062,19.1
Kras_2,swab,Kras,0.00066,20.9
Kras_5,swab,Kras,0.00073,35.3
Ljub_8,swab,Ljubljanica,0.00068,25.3
Ljub_9,swab,Ljubljanica,0.00063,24.7
Stic_2,tissue,Sticna,0.00074,31.8
Stic_4,tissue,Sticna,0.00075,41.8
Park_10,tissue,parkelj,0.00061,32.4
Dole_10,tissue,Dolenjska,0.00066,49.7
Kraj_4,tissue,Krajina,0.00071,41.5
Para_14,tissue,Paralittoral,0.00063,32.9
Ljub_5,tissue,Ljubljanica,0.00058,33.1
Kras_2,tissue,Kras,0.00067,27.7
Kras_5,tissue,Kras,0.00066,25.1
Ljub_8,tissue,Ljubljanica,0.00064,42.7
Ljub_9,tissue,Ljubljanica,0.00068,29.3
