scaffold,start,end,length,method,type,type_start,type_end,overlap,overlap/length
ptg000004l,2601875,2602156,281,RepeatMasker,DNA,2601995,2602191,162,0.58
ptg000004l,2609283,2609563,280,RepeatMasker,DNA,2609398,2609598,166,0.59
ptg000017l,761000,761337,337,RepeatMasker,DNA,759872,762092,337,1.00
ptg000044l,1331386,1331666,280,RepeatMasker,DNA,1331148,1331414,28,0.10
ptg000044l,1331386,1331666,280,RepeatMasker,DNA,1331203,1331622,236,0.84
ptg000048l,2013678,2014005,327,RepeatMasker,DNA,2012833,2014788,327,1.00
ptg000057l,28435,28732,297,RepeatMasker,DNA,27789,29277,297,1.00
ptg000063l,193934,194230,296,RepeatMasker,DNA,194193,194454,38,0.13
ptg000080l,1768520,1768800,280,RepeatMasker,DNA,1768641,1768834,160,0.57
ptg000094l,2334780,2335065,285,RepeatMasker,DNA,2334970,2335225,96,0.34
ptg000100l,504952,505255,303,RepeatMasker,DNA,505158,505465,98,0.32
ptg000115l,784781,785063,282,RepeatMasker,DNA,784541,785391,282,1.00
ptg000120l,101323,101634,311,RepeatMasker,DNA,101612,101658,23,0.07
ptg000186l,5142868,5143191,323,RepeatMasker,DNA,5142834,5142925,57,0.18
ptg000186l,5142868,5143191,323,RepeatMasker,DNA,5143109,5143188,80,0.25
ptg000186l,5142868,5143191,323,RepeatMasker,DNA,5143135,5143277,57,0.18
ptg000186l,6901530,6901827,297,RepeatMasker,DNA,6901668,6901862,160,0.54
ptg000200l,3456621,3456898,277,RepeatMasker,DNA,3456733,3456957,166,0.60
ptg000206l,3423092,3423418,326,RepeatMasker,DNA,3423048,3423975,326,1.00
ptg000246l,398595,398896,301,RepeatMasker,DNA,398772,398975,125,0.42
ptg000261l,1373449,1373768,319,RepeatMasker,DNA,1373241,1373536,87,0.27
ptg000267l,4840661,4840966,305,RepeatMasker,DNA,4840707,4840931,225,0.74
ptg000276l,4478804,4479084,280,RepeatMasker,DNA,4478925,4479123,160,0.57
ptg000313l,1983259,1983549,290,RepeatMasker,DNA,1983048,1984939,290,1.00
ptg000315l,142016,142305,289,RepeatMasker,DNA,142218,143222,88,0.30
ptg000321l,992313,992619,306,RepeatMasker,DNA,992459,992661,161,0.53
ptg000331l,269748,270042,294,RepeatMasker,DNA,269240,269840,92,0.31
ptg000337l,15515567,15515866,299,RepeatMasker,DNA,15515263,15515902,299,1.00
ptg000360l,2370661,2370986,325,RepeatMasker,DNA,2370433,2372107,325,1.00
ptg000363l,3204290,3204562,272,RepeatMasker,DNA,3204380,3204501,122,0.45
ptg000363l,3204290,3204562,272,RepeatMasker,DNA,3204499,3204558,60,0.22
ptg000429l,1081040,1081332,292,RepeatMasker,DNA,1080242,1081133,93,0.32
ptg000462l,360539,360870,331,RepeatMasker,DNA,360687,360952,184,0.56
ptg000473l,1099124,1099403,279,RepeatMasker,DNA,1099238,1099446,166,0.59
ptg000480l,332530,332836,306,RepeatMasker,DNA,332722,332915,115,0.38
ptg000493l,3850249,3850529,280,RepeatMasker,DNA,3850350,3850412,63,0.23
ptg000515l,5208994,5209289,295,RepeatMasker,DNA,5208723,5209269,275,0.93
ptg000515l,5208994,5209289,295,RepeatMasker,DNA,5208798,5209357,295,1.00
ptg000515l,5961896,5962213,317,RepeatMasker,DNA,5962129,5962328,85,0.27
ptg000525l,831186,831466,280,RepeatMasker,DNA,831436,831625,31,0.11
ptg000532l,577773,578086,313,RepeatMasker,DNA,577637,578028,255,0.81
ptg000536l,1123813,1124140,327,RepeatMasker,DNA,1123520,1124356,327,1.00
ptg000540l,479694,479996,302,RepeatMasker,DNA,479869,479984,116,0.38
ptg000550l,2134878,2135144,266,RepeatMasker,DNA,2134775,2135254,266,1.00
ptg000568l,430635,430917,282,RepeatMasker,DNA,429353,430805,170,0.60
ptg000580l,1684982,1685311,329,RepeatMasker,DNA,1685074,1685713,238,0.72
ptg000580l,1684982,1685311,329,RepeatMasker,DNA,1685153,1685713,159,0.48
ptg000602l,1388880,1389200,320,RepeatMasker,DNA,1388164,1392100,320,1.00
ptg000605l,2177779,2178061,282,RepeatMasker,DNA,2177900,2178098,162,0.57
ptg000617l,238662,238957,295,RepeatMasker,DNA,238856,239007,102,0.35
ptg000627l,3298949,3299256,307,RepeatMasker,DNA,3298886,3299070,121,0.39
ptg000627l,3298949,3299256,307,RepeatMasker,DNA,3298921,3299155,206,0.67
ptg000632l,1171146,1171427,281,RepeatMasker,DNA,1170622,1171305,159,0.57
ptg000632l,1171146,1171427,281,RepeatMasker,DNA,1171123,1171333,187,0.67
ptg000632l,1171146,1171427,281,RepeatMasker,DNA,1171196,1171351,156,0.56
ptg000649l,84141,84454,313,RepeatMasker,DNA,84432,84478,23,0.07
ptg000661l,2306947,2307237,290,RepeatMasker,DNA,2304759,2307039,92,0.32
ptg000676l,2894474,2894758,284,RepeatMasker,DNA,2894548,2894637,90,0.32
ptg000689l,1893834,1894127,293,RepeatMasker,DNA,1893967,1894167,161,0.55
ptg000702l,828429,828708,279,RepeatMasker,DNA,828234,829850,279,1.00
ptg000703l,2243058,2243339,281,RepeatMasker,DNA,2243179,2243374,161,0.57
ptg000711l,3081214,3081538,324,RepeatMasker,DNA,3080684,3082343,324,1.00
